Indices,GC,LC
"(0, 0, 0, 0, 2, 1, 2, 0)",7.878584656386136,1.625
"(0, 0, 0, 0, 2, 1, 2, 1)",7.770342157210546,1.75
"(0, 0, 0, 0, 2, 1, 2, 2)",7.600504757415358,1.875
"(0, 0, 0, 0, 2, 1, 2, 3)",7.814583783297621,2.0
"(0, 0, 0, 0, 2, 1, 3, 0)",7.740111615252812,1.75
"(0, 0, 0, 0, 2, 1, 3, 1)",7.9586889688975635,1.875
"(0, 0, 0, 0, 2, 1, 3, 2)",7.880036015054194,2.0
"(0, 0, 0, 0, 2, 1, 3, 3)",8.058849116195743,2.125
"(0, 0, 0, 0, 2, 2, 0, 0)",6.691213103443779,1.5
"(0, 0, 0, 0, 2, 2, 0, 1)",7.404875648835366,1.625
"(0, 0, 0, 0, 2, 2, 0, 2)",7.715257886944963,1.75
"(0, 0, 0, 0, 2, 2, 0, 3)",7.944536779185759,1.875
"(0, 0, 0, 0, 2, 2, 1, 0)",6.512021820616282,1.625
"(0, 0, 0, 0, 2, 2, 1, 1)",7.422173222153367,1.75
"(0, 0, 0, 0, 2, 2, 1, 2)",7.424427028973072,1.875
"(0, 0, 0, 0, 2, 2, 1, 3)",7.381924304760609,2.0
"(0, 0, 0, 0, 2, 2, 2, 0)",7.579661417676524,1.75
"(0, 0, 0, 0, 2, 2, 2, 1)",8.086345042454647,1.875
"(0, 0, 0, 0, 2, 2, 2, 2)",7.769602452406287,2.0
"(0, 0, 0, 0, 2, 2, 2, 3)",8.05029611036596,2.125
"(0, 0, 0, 0, 2, 2, 3, 0)",7.118407260745326,1.875
"(0, 0, 0, 0, 2, 2, 3, 1)",7.951910738343794,2.0
"(0, 0, 0, 0, 2, 2, 3, 2)",7.726352594247249,2.125
"(0, 0, 0, 0, 2, 2, 3, 3)",7.971780327466209,2.25
"(0, 0, 0, 0, 2, 3, 0, 0)",7.072650307886926,1.625
"(0, 0, 0, 0, 2, 3, 0, 1)",7.435362537840681,1.75
"(0, 0, 0, 0, 2, 3, 0, 2)",7.733575444950844,1.875
"(0, 0, 0, 0, 2, 3, 0, 3)",8.012238069959821,2.0
"(0, 0, 0, 0, 2, 3, 1, 0)",6.829357699219193,1.75
"(0, 0, 0, 0, 2, 3, 1, 1)",7.388558785318441,1.875
"(0, 0, 0, 0, 2, 3, 1, 2)",7.378643261138716,2.0
"(0, 0, 0, 0, 2, 3, 1, 3)",7.385524269694438,2.125
"(0, 0, 0, 0, 2, 3, 2, 0)",7.734247930336206,1.875
"(0, 0, 0, 0, 2, 3, 2, 1)",7.889981239676499,2.0
"(0, 0, 0, 0, 2, 3, 2, 2)",7.561069318628704,2.125
