Indices,GC,LC
"(0, 1, 4, 10)",4.270680661618996,4.75
"(0, 1, 4, 11)",4.218414365315018,5.0
"(0, 1, 4, 12)",4.340721036356266,5.25
"(0, 1, 4, 13)",4.2218761928188355,5.5
"(0, 1, 4, 14)",4.450167394652953,5.75
"(0, 1, 4, 15)",3.6592993629413697,6.0
"(0, 1, 5, 0)",4.711751118978129,2.5
"(0, 1, 5, 1)",3.917551927512787,2.75
"(0, 1, 5, 2)",4.420507968484166,3.0
"(0, 1, 5, 3)",4.971009064827445,3.25
"(0, 1, 5, 4)",4.569357279374855,3.5
"(0, 1, 5, 5)",4.517326151212393,3.75
"(0, 1, 5, 6)",4.192307561635527,4.0
"(0, 1, 5, 7)",4.343323316828813,4.25
"(0, 1, 5, 8)",3.8390615775218846,4.5
"(0, 1, 5, 9)",4.387665457269668,4.75
"(0, 1, 5, 10)",4.46311622268475,5.0
"(0, 1, 5, 11)",4.001786190962665,5.25
"(0, 1, 5, 12)",3.969170781304086,5.5
"(0, 1, 5, 13)",4.077657327480576,5.75
"(0, 1, 5, 14)",3.8747295258560666,6.0
"(0, 1, 5, 15)",3.5333972706410783,6.25
"(0, 1, 6, 0)",4.124950069259942,2.75
"(0, 1, 6, 1)",3.4202944269163145,3.0
"(0, 1, 6, 2)",4.105177996126127,3.25
"(0, 1, 6, 3)",3.8121623771231623,3.5
"(0, 1, 6, 4)",3.8860259958537817,3.75
"(0, 1, 6, 5)",3.638912435976213,4.0
"(0, 1, 6, 6)",3.670448497671826,4.25
"(0, 1, 6, 7)",3.296642492097791,4.5
"(0, 1, 6, 8)",3.347045700261935,4.75
"(0, 1, 6, 9)",3.749134301635577,5.0
"(0, 1, 6, 10)",3.7822744127602808,5.25
"(0, 1, 6, 11)",3.5314939333096236,5.5
"(0, 1, 6, 12)",3.3730024118952646,5.75
"(0, 1, 6, 13)",3.6227784221501738,6.0
"(0, 1, 6, 14)",3.6160034915130863,6.25
"(0, 1, 6, 15)",3.2449524818614788,6.5
"(0, 1, 7, 0)",4.208673573259199,3.0
"(0, 1, 7, 1)",3.5590959881656925,3.25
"(0, 1, 7, 2)",3.965139576906489,3.5
"(0, 1, 7, 3)",4.367279524704356,3.75
"(0, 1, 7, 4)",4.363304507068833,4.0
"(0, 1, 7, 5)",3.3391378773288602,4.25
"(0, 1, 7, 6)",4.231046993034148,4.5
"(0, 1, 7, 7)",3.5958792226235725,4.75
"(0, 1, 7, 8)",3.583256870493003,5.0
"(0, 1, 7, 9)",4.284291341471619,5.25
"(0, 1, 7, 10)",3.908654097420647,5.5
"(0, 1, 7, 11)",3.5823743663644656,5.75
"(0, 1, 7, 12)",4.112711598541595,6.0
"(0, 1, 7, 13)",3.6378134494968193,6.25
"(0, 1, 7, 14)",3.8798656956009747,6.5
"(0, 1, 7, 15)",3.1335607193157853,6.75
"(0, 1, 8, 0)",4.460107153927914,3.25
"(0, 1, 8, 1)",4.0867691490560025,3.5
"(0, 1, 8, 2)",4.305095984214884,3.75
"(0, 1, 8, 3)",4.8084549861367245,4.0
"(0, 1, 8, 4)",4.520960887496539,4.25
"(0, 1, 8, 5)",3.8583147998927685,4.5
"(0, 1, 8, 6)",3.95987994191474,4.75
"(0, 1, 8, 7)",3.853895584839478,5.0
"(0, 1, 8, 8)",3.6274313603769395,5.25
"(0, 1, 8, 9)",4.024483815492658,5.5
"(0, 1, 8, 10)",4.206148227658231,5.75
"(0, 1, 8, 11)",3.7765142309185564,6.0
"(0, 1, 8, 12)",3.702197005788674,6.25
"(0, 1, 8, 13)",4.195686412512559,6.5
"(0, 1, 8, 14)",3.895996430201819,6.75
"(0, 1, 8, 15)",3.241956165765468,7.0
"(0, 1, 9, 0)",4.253984155388051,3.5
"(0, 1, 9, 1)",3.7184882286834493,3.75
"(0, 1, 9, 2)",3.771166175303376,4.0
"(0, 1, 9, 3)",4.032011233701419,4.25
